Date,Team,Player_Name,Notes,Year,Injury_Type
2010-10-03,Bulls,Carlos Boozer,Fractured Bone In Right Pinky Finger (Out Indefinitely),2010,Fracture
2010-10-06,Pistons,Jonas Jerebko,Torn Right Achilles Tendon (Out Indefinitely),2010,Torn
2010-10-06,Pistons,Terrico White,Broken Fifth Metatarsal In Right Foot (Out Indefinitely),2010,Other
2010-10-08,Blazers,Jeff Ayres,Torn Acl In Right Knee (Out Indefinitely),2010,Torn
2010-10-08,Nets,Troy Murphy,Strained Lower Back (Out Indefinitely),2010,Strain
2010-10-08,Pistons,Jonas Jerebko,Surgery To Repair Torn Right Achilles Tendon,2010,Torn
2010-10-08,Pistons,Terrico White,Surgery On Right Foot To Repair Broken Fifth Metatarsal,2010,Surgery
2010-10-09,Nuggets,Al Harrington,Partially Torn Plantar Fascia In Left Foot (Out Indefinitely),2010,Torn
2010-10-12,Bucks,Darington Hobson,Surgery On Left Hip (Out For Season),2010,Surgery
2010-10-12,Kings,Samuel Dalembert,Strained Left Groin (Out Indefinitely),2010,Strain
2010-10-17,Bobcats,Dominic Mcguire,Stress Fracture In Left Shin (Out Indefinitely),2010,Fracture
2010-10-18,Warriors,Lou Amundson,Surgery To Repair Fractured Right Index Finger (Out Indefinitely),2010,Fracture
2010-10-19,Suns,Josh Childress,Fractured Right Index Finger (Out Indefinitely),2010,Fracture
2010-10-22,Heat,Mike Miller,Surgery On Right Hand To Repair A Broken Thumb And Ligament Damage (Out Indefinitely),2010,Surgery
2010-10-25,Thunder,Nick Collison,Left Knee Injury (Out Indefinitely),2010,Other
2010-10-25,Timberwolves,Martell Webster,Surgery On Back (Out Indefinitely),2010,Surgery
2010-10-26,Blazers,Elliot Williams,Placed On Il,2010,Other
2010-10-26,Blazers,Greg Oden,Placed On Il With Left Knee Injury (Out For Season),2010,Other
2010-10-26,Blazers,Joel Przybilla,Placed On Il Placed On Il Recovering From Surgery On Right Knee To Repair Ruptured Patella Tendon,2010,Surgery
2010-10-26,Celtics,Avery Bradley,Placed On Il Recovering From Surgery On Left Ankle,2010,Surgery
2010-10-26,Celtics,Kendrick Perkins,Placed On Il Recovering From Surgery On Right Knee To Repair Torn Acl,2010,Torn
2010-10-26,Celtics,Luke Harangody,Placed On Il,2010,Other
2010-10-26,Heat,Dexter Pittman,Placed On Il,2010,Other
2010-10-26,Heat,Jerry Stackhouse,Placed On Il,2010,Other
2010-10-26,Heat,Mario Chalmers,Sprained Ankle (Out Indefinitely),2010,Sprain
2010-10-26,Heat,Mike Miller,Placed On Il Recovering From Surgery On Right Hand To Repair A Broken Thumb And Ligament Damage,2010,Surgery
2010-10-26,Lakers,Andrew Bynum,Placed On Il Recovering From Surgery On Right Knee To Repair Torn Ligaments,2010,Torn
2010-10-26,Lakers,Luke Walton,Placed On Il With Strained Right Hamstring,2010,Strain
2010-10-26,Rockets,Jermaine Taylor,Placed On Il,2010,Other
2010-10-26,Rockets,Kyle Lowry,Placed On Il With Back Spasms,2010,Other
2010-10-26,Rockets,Patrick Patterson,Placed On Il,2010,Other
2010-10-26,Suns,Gani Lawal,Placed On Il,2010,Other
2010-10-26,Suns,Matt Janning,Placed On Il,2010,Other
2010-10-27,76Ers,Craig Brackins,Placed On Il,2010,Other
2010-10-27,76Ers,Jodie Meeks,Placed On Il,2010,Other
2010-10-27,Bobcats,Dominic Mcguire,Placed On Il With Stress Fracture In Left Shin,2010,Fracture
2010-10-27,Bobcats,Eduardo Najera,Placed On Il With Sports Hernia,2010,Other
2010-10-27,Bobcats,Kwame Brown,Placed On Il With Sprained Left Ankle,2010,Sprain
2010-10-27,Bucks,Chris Douglas-Roberts,Placed On Il With Right Eye Injury,2010,Other
2010-10-27,Bucks,Jon Brockman,Sprained Left Ankle (Dnp),2010,Sprain
2010-10-27,Bucks,Luc Mbah A Moute,Sprained Right Ankle (Dnp),2010,Sprain
2010-10-27,Bucks,Michael Redd,Placed On Il Recovering From Surgery On Left Knee To Repair Torn Acl,2010,Torn
2010-10-27,Bulls,Carlos Boozer,Placed On Il With Fractured Bone In Right Pinky Finger,2010,Fracture
2010-10-27,Cavaliers,Christian Eyenga,Placed On Il,2010,Other
2010-10-27,Cavaliers,Mo Williams,Placed On Il With Groin Injury,2010,Other
2010-10-27,Cavaliers,Samardo Samuels,Placed On Il,2010,Other
2010-10-27,Clippers,Craig Smith,Placed On Il With Back Injury,2010,Other
2010-10-27,Clippers,Willie Warren,Placed On Il,2010,Other
2010-10-27,Grizzlies,Greivis Vasquez,Placed On Il Recovering From Surgery On Right Ankle To Remove Bone Spur,2010,Surgery
2010-10-27,Grizzlies,Marc Gasol,Placed On Il With Sprained Right Ankle / Left Ankle,2010,Sprain
2010-10-27,Hawks,Etan Thomas,Placed On Il,2010,Other
2010-10-27,Hawks,Pape Sy,Placed On Il With Strained Lower Back,2010,Strain
2010-10-27,Heat,Jamaal Magloire,Placed On Il,2010,Other
2010-10-27,Heat,Nan,Activated From Il,2010,Other
2010-10-27,Hornets,Aaron Gray,Placed On Il,2010,Other
2010-10-27,Hornets,Joe Alexander,Placed On Il,2010,Other
2010-10-27,Hornets,Quincy Pondexter,Placed On Il,2010,Other
2010-10-27,Jazz,Mehmet Okur,Placed On Il Recovering From Surgery To Repair Torn Left Achilles Tendon,2010,Torn
2010-10-27,Kings,Antoine Wright,Placed On Il,2010,Other
2010-10-27,Kings,Samuel Dalembert,Placed On Il With Strained Left Abductor,2010,Strain
2010-10-27,Knicks,Anthony Randolph,Placed On Il With Sprained Left Ankle,2010,Sprain
2010-10-27,Knicks,Eddy Curry,Placed On Il With Strained Right Hamstring,2010,Strain
2010-10-27,Knicks,Kelenna Azubuike,Placed On Il Recovering From Arthroscopic Surgery On Right Knee,2010,Surgery
2010-10-27,Mavericks,Alex Ajinca,Placed On Il,2010,Other
2010-10-27,Mavericks,Rodrigue Beaubois,Placed On Il With Fractured Left Foot,2010,Fracture
2010-10-27,Mavericks,Steve Novak,Placed On Il,2010,Other
2010-10-27,Nets,Ben Uzoh,Placed On Il,2010,Other
2010-10-27,Nets,Quinton Ross,Placed On Il,2010,Other
2010-10-27,Nets,Troy Murphy,Placed On Il With Strained Lower Back,2010,Strain
2010-10-27,Nuggets,Chris Andersen,Placed On Il Recovering From Surgery On Right Knee To Repair Partially Torn Patella Tendon,2010,Torn
2010-10-27,Nuggets,Kenyon Martin,Placed On Il Recovering From Surgery On Left Knee,2010,Surgery
2010-10-27,Pacers,A.J. Price,Placed On Il,2010,Other
2010-10-27,Pacers,Dahntay Jones,Placed On Il,2010,Other
2010-10-27,Pacers,Lance Stephenson,Placed On Il,2010,Other
2010-10-27,Pistons,Chris Wilcox,Placed On Il With Sore Left Hamstring,2010,Other
2010-10-27,Pistons,Jonas Jerebko,Placed On Il Recovering From Surgery To Repair Torn Right Achilles Tendon (Out For Season),2010,Torn
2010-10-27,Pistons,Terrico White,Placed On Il Recovering From Surgery On Right Foot To Repair Broken Fifth Metatarsal (Out For Season),2010,Surgery
2010-10-27,Raptors,Ed Davis,Placed On Il Recovering From Arthroscopic Surgery On Right Kene To Repair Torn Meniscus,2010,Torn
2010-10-27,Raptors,Marcus Banks,Placed On Il,2010,Other
2010-10-27,Raptors,Solomon Alabi,Placed On Il,2010,Other
2010-10-27,Rockets,Yao Ming,Placed On Il,2010,Other
2010-10-27,Spurs,Alonzo Gee,Placed On Il,2010,Other
2010-10-27,Spurs,Tiago Splitter,Placed On Il With Strained Right Plantaris Muscle / Calf Injury (Cbc),2010,Strain
2010-10-27,Thunder,B.J. Mullens,Placed On Il,2010,Other
2010-10-27,Thunder,Morris Peterson,Placed On Il,2010,Other
2010-10-27,Thunder,Nick Collison,Placed On Il With Stress Reaction In Lower Left Leg,2010,Other
2010-10-27,Timberwolves,Jonny Flynn,Placed On Il Recovering From Surgery On Left Hip,2010,Surgery
2010-10-27,Timberwolves,Martell Webster,Placed On Il Recovering From Surgery On Back,2010,Surgery
2010-10-27,Timberwolves,Maurice Ager,Placed On Il With Bruised Left Quadriceps,2010,Bruise
2010-10-27,Warriors,Ekpe Udoh,Placed On Il Recovering From Surgery On Left Wrist,2010,Surgery
2010-10-27,Warriors,Jeremy Lin,Placed On Il,2010,Other
2010-10-27,Warriors,Lou Amundson,Placed On Il Recovering From Surgery To Repair Fractured Right Index Finger,2010,Fracture
2010-10-28,Grizzlies,Zach Randolph,Back Injury (Dtd),2010,Other
2010-10-28,Hawks,Maurice Evans,Right Knee Inflammation (Dtd),2010,Inflammation
2010-10-28,Magic,Daniel Orton,Placed On Il,2010,Other
2010-10-28,Magic,Malik Allen,Placed On Il,2010,Other
2010-10-28,Spurs,Matt Bonner,Sprained Right Ankle (Dtd),2010,Sprain
2010-10-28,Wizards,Gilbert Arenas,Placed On Il With Sprained Right Ankle,2010,Sprain
2010-10-28,Wizards,Josh Howard,Placed On Il With Torn Acl In Left Knee,2010,Torn
2010-10-28,Wizards,Kevin Seraphin,Placed On Il,2010,Other
2010-10-29,Cavaliers,Nan,Activated From Il,2010,Other
2010-10-29,Celtics,Jermaine O'Neal,Placed On Il With Left Knee Injury,2010,Other
2010-10-29,Grizzlies,Zach Randolph,Placed On Il With Bruised Tailbone,2010,Bruise
2010-10-29,Hawks,Maurice Evans,Placed On Il With Right Knee Inflammation,2010,Inflammation
2010-10-29,Heat,Juwan Howard,Placed On Il,2010,Other
2010-10-29,Kings,Pooh Jeter,Placed On Il,2010,Other
2010-10-29,Kings,Hassan Whiteside,Placed On Il,2010,Other
2010-10-29,Pistons,Will Bynum,Sore Right Hamstring (Dnp),2010,Other
2010-10-29,Raptors,Joey Dorsey,Placed On Il,2010,Other
2010-10-29,Warriors,Jeff Adrien,Placed On Il,2010,Other
2010-10-30,Cavaliers,Samardo Samuels,Placed On Il,2010,Other
2010-10-30,Grizzlies,Xavier Henry,Placed On Il,2010,Other
2010-10-30,Grizzlies,Nan,Activated From Il,2010,Other
2010-10-30,Pacers,Jeff Foster,Placed On Il,2010,Other
2010-10-30,Pistons,Will Bynum,Sore Right Hamstring (Dnp),2010,Other
2010-10-30,Rockets,Ish Smith,Placed On Il,2010,Other
2010-10-30,Spurs,Matt Bonner,Placed On Il With Sprained Right Ankle,2010,Sprain
2010-10-31,Clippers,Randy Foye,Placed On Il With Strained Left Hamstring,2010,Strain
2010-10-31,Clippers,Nan,Activated From Il,2010,Other
2010-10-31,Warriors,Stephen Curry,Placed On Il With Sprained Right Ankle,2010,Sprain
2010-11-01,Clippers,Baron Davis,Placed On Il With Sore Left Knee,2010,Other
2010-11-01,Clippers,Nan,Activated From Il,2010,Other
2010-11-01,Raptors,Marcus Banks,Placed On Il,2010,Other
2010-11-01,Spurs,Alonzo Gee,Placed On Il,2010,Other
2010-11-02,Blazers,Patty Mills,Placed On Il,2010,Other
2010-11-02,Blazers,Nan,Activated From Il,2010,Other
2010-11-02,Cavaliers,Antawn Jamison,Placed On Il With Sore Left Knee,2010,Other
2010-11-02,Celtics,Shaquille O'Neal,Placed On Il With Bruised Right Knee,2010,Bruise
2010-11-02,Grizzlies,Greivis Vasquez,Placed On Il,2010,Other
2010-11-02,Heat,Jamaal Magloire,Placed On Il,2010,Other
2010-11-02,Pistons,Richard Hamilton,Sore Right Foot (Dnp),2010,Other
2010-11-02,Pistons,Will Bynum,Sore Right Hamstring (Dnp),2010,Other
2010-11-03,Grizzlies,Demarre Carroll,Placed On Il,2010,Other
2010-11-03,Grizzlies,Nan,Activated From Il,2010,Other
2010-11-03,Hawks,Jamal Crawford,Turf Toe (Dnp),2010,Other
2010-11-03,Hornets,Peja Stojakovic,Placed On Il,2010,Other
2010-11-03,Jazz,Jeremy Evans,Sprained Right Wrist (Dnp),2010,Sprain
2010-11-03,Jazz,Kyrylo Fesenko,Stomach Illness (Dnp),2010,Other
2010-11-03,Nets,Joe Smith,Placed On Il,2010,Other
2010-11-03,Nets,Stephen Graham,Placed On Il,2010,Other
2010-11-03,Nuggets,Nene Hilario,Strained Left Groin (Dnp),2010,Strain
2010-11-03,Pistons,Richard Hamilton,Sore Right Foot (Dnp),2010,Other
2010-11-03,Pistons,Will Bynum,Sore Right Hamstring (Dnp),2010,Other
2010-11-03,Rockets,Jermaine Taylor,Placed On Il,2010,Other
2010-11-03,Spurs,George Hill,Placed On Il With Neck Injury,2010,Other
2010-11-03,Timberwolves,Michael Beasley,Placed On Il With Bruised Left Hip,2010,Bruise
2010-11-03,Warriors,Brandan Wright,Stomach Virus (Dtd),2010,Other
2010-11-04,Blazers,Elliot Williams,"Dislocated Patella In Right Knee (Surgery, Out For Season)",2010,Surgery
2010-11-04,Blazers,Nan,Activated From Il,2010,Other
2010-11-04,Knicks,Shawne Williams,Placed On Il,2010,Other
2010-11-05,Bucks,Andrew Bogut,Migraine Headache (Dnp),2010,Other
2010-11-05,Grizzlies,Hamed Haddadi,Placed On Il,2010,Other
2010-11-05,Grizzlies,Nan,Activated From Il,2010,Other
2010-11-05,Hawks,Marvin Williams,Bone Bruise In Right Knee (Dnp),2010,Bruise
2010-11-05,Jazz,Jeremy Evans,Sprained Right Ankle (Dnp),2010,Sprain
2010-11-05,Lakers,Devin Ebanks,Placed On Il,2010,Other
2010-11-05,Nuggets,Nene Hilario,Strained Left Groin (Dnp),2010,Strain
2010-11-05,Timberwolves,Maurice Ager,Placed On Il,2010,Other
2010-11-05,Warriors,Jeremy Lin,Placed On Il,2010,Other
2010-11-06,Blazers,Elliot Williams,"Placed On Il With Dislocated Patella In Right Knee (Surgery, Out For Season)",2010,Surgery
2010-11-06,Blazers,Rudy Fernandez,Back Injury (Dnp),2010,Other
2010-11-06,Heat,Juwan Howard,Placed On Il,2010,Other
2010-11-06,Heat,Nan,Activated From Il,2010,Other
2010-11-06,Magic,Jameer Nelson,Placed On Il With Sprained Left Ankle,2010,Sprain
2010-11-06,Nuggets,Nene Hilario,Strained Left Groin (Dnp),2010,Strain
2010-11-06,Raptors,Sonny Weems,Ankle Injury (Dtd),2010,Other
2010-11-06,Rockets,Kyle Lowry,Placed On Il With Sore Back,2010,Other
2010-11-06,Rockets,Yao Ming,Placed On Il With Foot Injury / Rest,2010,Other
2010-11-07,76Ers,Andre Iguodala,Placed On Il With Right Achilles Tendon Injury,2010,Other
2010-11-07,76Ers,Nan,Activated From Il,2010,Other
2010-11-07,Hawks,Marvin Williams,Bone Bruise In Right Knee (Dnp),2010,Bruise
2010-11-07,Rockets,Aaron Brooks,Placed On Il With Sprained Left Ankle,2010,Sprain
2010-11-07,Thunder,Jeff Green,Placed On Il With Sprained Left Ankle,2010,Sprain
2010-11-07,Timberwolves,Lazar Hayward,Placed On Il,2010,Other
2010-11-07,Warriors,Jeff Adrien,Placed On Il,2010,Other
2010-11-08,Hawks,Marvin Williams,Bone Bruise In Right Knee (Dnp),2010,Bruise
2010-11-08,Magic,Mickael Pietrus,Dnp,2010,Other
2010-11-08,Raptors,Joey Dorsey,Placed On Il,2010,Other
2010-11-08,Raptors,Nan,Activated From Il,2010,Other
2010-11-08,Spurs,Garrett Temple,Placed On Il,2010,Other
2010-11-09,Bucks,Carlos Delfino,Strained Neck (Dnp),2010,Strain
2010-11-09,Cavaliers,Manny Harris,Placed On Il,2010,Other
2010-11-09,Cavaliers,Nan,Activated From Il,2010,Other
2010-11-09,Clippers,Eric Gordon,Placed On Il With Left Shoulder Injury,2010,Other
2010-11-09,Lakers,Derrick Caracter,Placed On Il,2010,Other
2010-11-09,Nets,Terrence Williams,Placed On Il With Lower Abdominal Strain,2010,Strain
2010-11-09,Timberwolves,Luke Ridnour,Placed On Il With Strained Hamstring,2010,Strain
2010-11-10,76Ers,Nan,Activated From Il,2010,Other
2010-11-10,Bucks,Carlos Delfino,Strained Neck (Dnp),2010,Strain
2010-11-10,Clippers,Baron Davis,Placed On Il With Sore Left Knee,2010,Other
2010-11-10,Clippers,Chris Kaman,Sprained Left Ankle (Dnp),2010,Sprain
2010-11-10,Hawks,Marvin Williams,Bone Bruise In Right Knee (Dnp),2010,Bruise
2010-11-10,Kings,Pooh Jeter,Placed On Il,2010,Other
2010-11-10,Kings,Hassan Whiteside,Placed On Il,2010,Other
2010-11-10,Knicks,Ronny Turiaf,Placed On Il With Sprained Left Knee,2010,Sprain
2010-11-10,Magic,Malik Allen,Placed On Il,2010,Other
2010-11-10,Mavericks,Caron Butler,Placed On Il With Back Spasms,2010,Other
2010-11-10,Nets,Stephen Graham,Placed On Il,2010,Other
2010-11-10,Nets,Troy Murphy,Placed On Il With Sore Right Foot,2010,Other
2010-11-10,Raptors,David Andersen,Flu (Dtd),2010,Other
2010-11-10,Raptors,Leandro Barbosa,Placed On Il With Strained Left Shoulder,2010,Strain
2010-11-10,Rockets,Jermaine Taylor,Placed On Il,2010,Other
2010-11-10,Timberwolves,Wayne Ellington,Thigh Injury (Dtd),2010,Other
2010-11-10,Warriors,Dan Gadzuric,Placed On Il With Back Spasms,2010,Other
2010-11-10,Wizards,Kevin Seraphin,Placed On Il,2010,Other
2010-11-10,Wizards,Lester Hudson,Placed On Il,2010,Other
2010-11-10,Clippers,Eric Gordon,Sore Left Shoulder (Dnp),2010,Other
